"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
84250,59,"D","A","T","D",,"T",,"A","T","D","A","T",,"A","T","A","A","T","A",,"T","A","A","T","T",,
84250,60,"A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD",,,,
84250,61,"T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","T,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,F",,
84250,62,"D,SD","A","T","D,SD","A","T","D,SD",,"T","D,SD","D,SD","T","T,SD","T,SD",,"D,SD","T,SD","D,SD","D,SD","D,SD","D,F",,"D,SD","D,SD","D,SD",,
84250,63,"T","T","D,SD","D,SD","T","D,SD","T,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","T,SD","T,SD","D,SD","D,SD","D,SD","D,SD",,,
84250,64,"T","T,SD","T","T","T,SD","A","T","D,SD","T,SD","T","D,SD","D,SD","D,SD","D,SD","T,SD","T,SD","D,SD","D,SD","T,SD","T,SD","D,SD","D,SD","T,SD","D,SD","D,SD",,
84250,65,,,,,,"T",,,,,,,,,,,,,,,,,"A",,,,
84250,66,"A","T","D,SD","A","T","D,SD","D,SD","A","T","D,SD","D,SD","T","D,SD","D","T","D,SD","D,SD","T","D,SD","D","D,SD","D,SD","D,SD","D,SD","D",,
84250,67,"T","T,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD",,"T","D,SD","A","T","D,SD","T,SD","T","D,SD","A","T","D,SD","A","T",,
84250,68,"D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
84250,69,,"T","D,SD","A","T","D,SD","A","T","D,SD","A","T","D,SD","A","T","D,SD","A","T","D,SD","T,SD","T","D",,"D,SD","D,SD","D,SD",,
84250,70,"T","D,SD","A","T","D,SD","A","T","A","A",,,,"T","A","A","T","A","A","T","A","A","T","A",,,,
